,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ayan,56.45,138.17,56.39,60,0,3.94,RU,1600824633
1,karachi,24.91,67.08,80.6,88,20,3.36,PK,1600824634
2,bontang,0.13,117.5,75.27,90,100,3.2,ID,1600824377
3,grand gaube,-20.01,57.66,66.0,75,1,3.0,MU,1600824634
4,bosaso,11.28,49.18,87.84,60,100,0.76,SO,1600824634
5,cape town,-33.93,18.42,57.99,87,11,12.75,ZA,1600824555
6,moree,-29.47,149.85,73.4,27,0,10.29,AU,1600824634
7,kabompo,-13.59,24.2,66.7,38,0,8.39,ZM,1600824635
8,sitka,57.05,-135.33,57.2,58,90,17.22,US,1600824635
9,hobart,-42.88,147.33,59.0,47,75,17.22,AU,1600824446
10,albany,42.6,-73.97,57.0,45,0,6.71,US,1600824479
11,castro,-24.79,-50.01,49.05,94,22,8.16,BR,1600824635
12,san patricio,19.22,-104.7,80.6,83,75,9.17,MX,1600824636
13,barrow,71.29,-156.79,33.8,80,90,13.87,US,1600824497
14,bluff,-46.6,168.33,59.0,75,23,5.01,NZ,1600824636
15,kibala,9.11,18.35,75.2,94,20,6.33,TD,1600824636
16,alvand,36.32,49.17,48.83,93,24,3.27,IR,1600824637
17,mount isa,-20.73,139.5,78.8,29,5,10.29,AU,1600824637
18,cabo san lucas,22.89,-109.91,87.01,78,20,16.11,MX,1600824589
19,qaanaaq,77.48,-69.36,12.52,80,3,9.24,GL,1600824637
20,horasan,40.05,42.17,49.86,80,0,1.05,TR,1600824637
21,san rafael,-34.62,-68.33,65.26,26,100,6.85,AR,1600824606
22,lishui,28.46,119.91,66.4,88,100,2.17,CN,1600824637
23,nedjo,9.5,35.5,58.24,94,84,0.54,ET,1600824638
24,nome,64.5,-165.41,48.2,61,75,10.29,US,1600824594
25,buraydah,26.33,43.98,73.4,35,0,5.82,SA,1600824638
26,whitehorse,60.72,-135.05,51.8,53,90,5.82,CA,1600824609
27,komsomolskiy,40.43,71.72,59.0,47,5,4.7,UZ,1600824638
28,ribeira grande,38.52,-28.7,68.92,85,100,25.72,PT,1600824638
29,sisimiut,66.94,-53.67,29.91,92,0,5.75,GL,1600824638
31,saint george,37.1,-113.58,91.4,14,1,10.29,US,1600824537
32,mataura,-46.19,168.86,59.0,75,87,5.01,NZ,1600824639
33,atuona,-9.8,-139.03,78.55,72,0,18.75,PF,1600824639
34,rikitea,-23.12,-134.97,72.84,75,100,18.01,PF,1600824639
35,mahebourg,-20.41,57.7,64.4,82,20,3.36,MU,1600824639
36,hukuntsi,-24.0,21.75,60.12,64,35,17.58,BW,1600824640
37,georgetown,5.41,100.34,82.4,83,20,4.7,MY,1600824640
38,cherskiy,68.75,161.3,39.76,90,99,2.86,RU,1600824640
39,port alfred,-33.59,26.89,57.63,67,0,4.09,ZA,1600824640
40,leningradskiy,69.38,178.42,39.87,88,100,20.07,RU,1600824641
41,santa fe,-31.63,-60.7,55.0,56,16,7.7,AR,1600824641
42,tiksi,71.69,128.87,47.59,60,33,20.36,RU,1600824641
43,tuktoyaktuk,69.45,-133.04,39.2,86,90,4.7,CA,1600824641
44,nikolskoye,59.7,30.79,51.01,93,75,2.24,RU,1600824641
46,vanimo,-2.67,141.3,87.53,57,100,6.4,PG,1600824642
47,liverpool,53.41,-2.98,59.0,66,100,9.44,GB,1600824368
48,auki,-8.77,160.7,84.22,72,89,3.36,SB,1600824642
49,thompson,55.74,-97.86,51.8,62,75,11.41,CA,1600824642
50,klaksvik,62.23,-6.59,39.2,93,96,2.24,FO,1600824642
51,fez,34.04,-5.0,69.8,60,100,4.7,MA,1600824642
52,saint-philippe,-21.36,55.77,66.2,52,68,8.05,RE,1600824643
53,nyamuswa,-1.9,34.02,66.24,71,17,6.55,TZ,1600824643
54,craigieburn,-37.6,144.95,55.4,81,75,12.75,AU,1600824643
55,busselton,-33.65,115.33,64.0,58,0,6.04,AU,1600824643
56,leh,34.17,77.58,50.07,44,1,5.21,IN,1600824644
57,kruisfontein,-34.0,24.73,48.11,76,0,3.31,ZA,1600824644
58,same,-4.07,37.73,63.97,84,0,0.47,TZ,1600824644
59,longyearbyen,78.22,15.64,33.8,69,40,4.7,SJ,1600824644
60,naze,28.37,129.48,84.2,79,75,17.22,JP,1600824644
61,yerbogachen,61.28,108.01,49.78,72,0,4.63,RU,1600824644
62,jumla,29.27,82.18,62.04,69,100,1.7,NP,1600824645
63,yellowknife,62.46,-114.35,51.01,87,20,8.05,CA,1600824609
64,hermanus,-34.42,19.23,52.0,93,45,1.01,ZA,1600824645
65,naryan-mar,67.67,53.09,38.39,95,50,6.06,RU,1600824645
66,hami,42.8,93.45,70.18,33,0,5.84,CN,1600824645
67,butaritari,3.07,172.79,82.65,75,2,16.37,KI,1600824645
68,punta arenas,-53.15,-70.92,42.8,81,75,8.05,CL,1600824646
69,upernavik,72.79,-56.15,25.7,87,100,5.03,GL,1600824646
70,hasaki,35.73,140.83,75.2,83,75,8.05,JP,1600824646
71,vaini,-21.2,-175.2,77.0,78,20,12.75,TO,1600824647
72,mar del plata,-38.0,-57.56,54.0,71,100,9.17,AR,1600824647
73,la asuncion,11.03,-63.86,81.75,87,100,12.68,VE,1600824647
74,kapaa,22.08,-159.32,84.2,70,20,14.99,US,1600824648
75,berlevag,70.86,29.09,45.18,85,100,5.3,NO,1600824648
76,mareeba,-17.0,145.43,84.99,69,75,10.29,AU,1600824648
77,tucuma,-0.18,-50.05,78.75,81,13,8.72,BR,1600824648
78,new norfolk,-42.78,147.06,57.0,64,72,1.99,AU,1600824648
79,jishou,28.32,109.72,63.36,89,100,1.21,CN,1600824649
80,dhidhdhoo,6.88,73.1,82.31,77,100,15.57,MV,1600824649
81,ushuaia,-54.8,-68.3,42.8,85,40,4.88,AR,1600824649
83,east london,-33.02,27.91,60.62,54,0,3.87,ZA,1600824650
84,ulladulla,-35.35,150.47,66.99,29,0,19.46,AU,1600824546
85,severo-kurilsk,50.68,156.12,51.35,69,0,10.47,RU,1600824650
86,spornoye,50.84,37.29,53.6,58,16,4.47,RU,1600824650
87,bengkulu,-3.8,102.27,83.35,67,17,5.23,ID,1600824650
88,sao joao da barra,-21.64,-41.05,68.07,89,100,29.48,BR,1600824651
89,coquimbo,-29.95,-71.34,53.6,93,40,4.7,CL,1600824651
90,san carlos de bariloche,-41.15,-71.31,41.0,65,0,10.29,AR,1600824651
91,badnawar,23.02,75.22,75.2,94,75,7.07,IN,1600824651
92,chuy,-33.7,-53.46,49.21,83,100,8.81,UY,1600824610
93,touros,-5.2,-35.46,75.2,83,20,4.7,BR,1600824651
94,ati,13.22,18.34,83.46,50,98,7.23,TD,1600824651
95,miraflores,19.22,-98.81,71.6,43,75,10.29,MX,1600824652
96,hithadhoo,-0.6,73.08,81.73,67,97,5.79,MV,1600824652
97,ponta do sol,32.67,-17.1,75.2,73,20,4.7,PT,1600824652
98,avera,33.19,-82.53,64.4,88,1,2.91,US,1600824594
99,vardo,70.37,31.11,45.63,79,94,11.18,NO,1600824652
100,esperance,-33.87,121.9,59.0,77,90,3.36,AU,1600824653
101,saldanha,-33.01,17.94,48.2,81,0,4.7,ZA,1600824653
102,norman wells,65.28,-126.83,62.6,33,75,3.36,CA,1600824653
103,pahrump,36.21,-115.98,93.99,14,0,3.0,US,1600824526
104,zheleznodorozhnyy,55.75,38.0,54.0,87,0,4.47,RU,1600824653
105,thinadhoo,0.53,72.93,82.49,67,95,7.83,MV,1600824653
106,surin,14.88,103.49,80.6,88,40,3.36,TH,1600824654
107,russell,32.35,-85.2,69.8,68,90,4.7,US,1600824654
108,noumea,-22.28,166.46,82.4,45,20,12.75,NC,1600824654
109,avarua,-21.21,-159.78,80.6,78,95,12.75,CK,1600824654
110,jamestown,42.1,-79.24,53.6,81,1,8.05,US,1600824654
111,keetmanshoop,-26.58,18.13,60.46,23,0,13.62,NA,1600824654
112,los llanos de aridane,28.66,-17.92,73.4,94,100,2.24,ES,1600824655
113,constitucion,-35.33,-72.42,54.0,78,100,7.85,CL,1600824651
114,vanavara,60.34,102.28,46.92,75,100,4.68,RU,1600824655
115,stanger,-29.33,31.29,51.8,87,0,4.7,ZA,1600824656
116,vila franca do campo,37.72,-25.43,66.2,77,20,4.7,PT,1600824656
117,hay river,60.82,-115.8,59.0,44,20,8.05,CA,1600824656
118,sabang,5.89,95.32,83.03,72,100,2.95,ID,1600824656
119,camacha,33.08,-16.33,73.4,83,40,1.12,PT,1600824656
120,kaitangata,-46.28,169.85,57.4,79,52,5.46,NZ,1600824657
121,krnov,50.09,17.7,57.99,88,15,5.79,CZ,1600824657
122,kloulklubed,7.04,134.26,86.0,70,75,8.05,PW,1600824657
123,padang,-0.95,100.35,85.71,61,45,0.6,ID,1600824657
124,srandakan,-7.94,110.25,82.51,70,50,8.68,ID,1600824658
126,hit,33.64,42.83,79.5,31,0,9.17,IQ,1600824658
127,coahuayana,18.73,-103.68,80.6,84,100,1.39,MX,1600824658
128,kuusamo,65.97,29.18,35.6,74,100,1.12,FI,1600824658
129,maraa,-1.83,-65.37,71.47,99,100,1.3,BR,1600824659
130,lebu,-37.62,-73.65,48.0,85,23,16.73,CL,1600824659
131,khatanga,71.97,102.5,49.46,61,28,17.96,RU,1600824659
132,lavrentiya,65.58,-171.0,40.5,84,99,6.58,RU,1600824659
133,perelyub,51.87,50.37,52.59,86,86,12.21,RU,1600824659
134,luderitz,-26.65,15.16,64.76,29,0,1.3,NA,1600824660
135,meulaboh,4.14,96.13,80.89,81,63,2.21,ID,1600824660
136,guerrero negro,27.98,-114.06,76.93,60,0,14.09,MX,1600824660
138,eyl,7.98,49.82,77.9,70,96,11.54,SO,1600824661
139,itarema,-2.92,-39.92,77.34,80,0,17.34,BR,1600824661
140,roura,4.73,-52.33,78.8,83,14,4.68,GF,1600824661
141,wewak,-3.55,143.63,84.87,66,98,6.51,PG,1600824662
142,hilo,19.73,-155.09,84.2,62,20,8.05,US,1600824615
143,qaqortoq,60.72,-46.03,32.0,83,5,17.22,GL,1600824611
144,port blair,11.67,92.75,83.95,76,100,6.93,IN,1600824662
145,bandarbeyla,9.49,50.81,78.33,69,21,23.09,SO,1600824662
146,tasiilaq,65.61,-37.64,28.4,79,100,5.82,GL,1600824663
147,lalmohan,22.34,90.74,82.72,85,100,14.23,BD,1600824663
148,langarud,37.2,50.15,69.8,94,90,2.24,IR,1600824663
149,havre-saint-pierre,50.23,-63.6,44.6,87,90,8.05,CA,1600824663
150,necochea,-38.55,-58.74,54.0,73,97,8.01,AR,1600824664
151,qandala,11.47,49.87,88.18,58,98,3.58,SO,1600824664
152,carnarvon,-24.87,113.63,80.6,10,0,18.34,AU,1600824664
153,kuandian,40.73,124.78,66.18,64,100,1.66,CN,1600824664
154,madang,-5.22,145.8,85.91,66,96,5.88,PG,1600824664
155,puerto ayora,-0.74,-90.35,68.0,84,54,5.01,EC,1600824624
156,ambilobe,-13.2,49.05,68.65,76,73,4.92,MG,1600824665
157,sorong,-0.88,131.25,84.02,69,9,3.24,ID,1600824665
158,belmonte,-15.86,-38.88,77.0,78,75,4.7,BR,1600824665
159,camiri,-20.05,-63.52,62.38,47,0,1.92,BO,1600824665
160,chokurdakh,70.63,147.92,46.9,72,61,8.93,RU,1600824666
161,katsuura,35.13,140.3,71.01,90,100,1.99,JP,1600824666
162,serik,36.92,31.1,73.4,83,0,5.82,TR,1600824666
163,kyaikto,17.3,97.02,80.55,87,100,4.36,MM,1600824666
164,pangai,-19.8,-174.35,71.6,94,90,5.82,TO,1600824666
165,bloomfield,40.81,-74.19,68.0,39,1,3.36,US,1600824666
166,moen,69.13,18.61,35.6,77,100,14.99,NO,1600824667
167,novyy urengoy,66.08,76.63,39.02,87,99,13.78,RU,1600824667
168,faanui,-16.48,-151.75,78.12,80,36,17.16,PF,1600824667
169,chimore,-16.98,-65.13,69.24,50,0,3.0,BO,1600824667
170,poya,-21.35,165.15,79.5,49,0,6.38,NC,1600824667
171,gusau,12.16,6.66,75.0,75,12,7.07,NG,1600824667
172,lao cai,22.48,103.95,80.19,83,100,1.86,VN,1600824668
173,geraldton,-28.77,114.6,71.6,30,0,13.87,AU,1600824668
174,guanica,17.97,-66.91,82.0,84,80,5.17,PR,1600824668
175,gayny,60.31,54.32,39.58,87,51,11.18,RU,1600824668
176,saskylakh,71.92,114.08,48.63,60,5,18.92,RU,1600824668
177,hoima,1.44,31.34,63.19,94,37,3.27,UG,1600824669
178,abonnema,4.71,6.79,75.07,94,100,3.38,NG,1600824669
179,neryungri,56.67,124.65,55.51,53,0,2.95,RU,1600824669
180,laguna,38.42,-121.42,86.0,25,1,10.29,US,1600824670
181,aksarka,66.56,67.8,34.92,92,99,11.23,RU,1600824670
182,kamina,-8.74,24.99,68.09,69,0,0.89,CD,1600824670
183,victoria,22.29,114.16,87.8,62,20,13.87,HK,1600824607
184,atocha,-20.93,-66.23,48.06,45,0,2.82,BO,1600824670
185,olafsvik,64.89,-23.71,39.78,77,98,27.78,IS,1600824671
186,solnechnyy,50.72,136.63,58.62,56,78,3.11,RU,1600824671
187,san cristobal,7.77,-72.22,67.73,81,99,2.04,VE,1600824671
188,palmer,42.16,-72.33,57.2,41,20,11.41,US,1600824671
189,tilichiki,60.47,166.1,45.07,57,0,3.94,RU,1600824671
190,bara,10.37,10.73,73.36,91,1,5.82,NG,1600824672
191,flinders,-34.58,150.86,70.0,41,0,15.01,AU,1600824672
192,narsaq,60.92,-46.05,32.0,80,5,17.22,GL,1600824673
193,dukat,62.55,155.55,37.69,68,13,6.98,RU,1600824673
194,mahon,39.89,4.27,73.4,78,76,11.41,ES,1600824673
195,ponta delgada,37.73,-25.67,66.2,77,20,4.7,PT,1600824673
196,ostrovnoy,68.05,39.51,41.07,84,67,6.78,RU,1600824673
197,cockburn town,21.46,-71.14,81.95,81,100,12.28,TC,1600824441
198,forest,37.36,-79.29,57.99,76,1,3.36,US,1600824674
199,iqaluit,63.75,-68.51,35.6,64,90,21.92,CA,1600824674
200,sabzevar,36.21,57.68,56.1,48,0,7.7,IR,1600824674
201,kodiak,57.79,-152.41,50.0,81,90,18.34,US,1600824462
202,port elizabeth,-33.92,25.57,44.6,81,0,4.7,ZA,1600824380
203,algeciras,36.13,-5.45,71.6,73,100,14.99,ES,1600824674
204,puerto leguizamo,-0.19,-74.78,73.22,93,34,1.72,CO,1600824675
205,lahat,-3.8,103.53,85.96,59,18,2.33,ID,1600824675
206,lubango,-14.92,13.49,62.73,52,66,4.27,AO,1600824675
207,san jose,37.34,-121.89,75.0,46,20,19.46,US,1600824540
208,pevek,69.7,170.31,39.13,95,100,17.83,RU,1600824675
209,bang saphan,11.21,99.51,82.4,88,20,3.36,TH,1600824675
210,monrovia,6.3,-10.8,76.66,89,100,8.23,LR,1600824487
211,vereeniging,-26.67,27.93,48.0,90,0,6.49,ZA,1600824676
212,savinka,50.08,47.1,54.05,72,49,9.91,RU,1600824676
213,ancud,-41.87,-73.82,48.0,94,0,4.0,CL,1600824676
214,houma,29.6,-90.72,77.0,94,90,9.17,US,1600824647
216,pringsewu,-5.36,104.97,85.8,65,91,2.26,ID,1600824677
217,atar,20.52,-13.05,92.26,32,0,2.44,MR,1600824504
218,sao filipe,14.9,-24.5,80.11,81,2,2.21,CV,1600824677
219,tuatapere,-46.13,167.68,59.0,75,73,5.01,NZ,1600824678
220,luena,-11.78,19.92,64.4,69,0,4.74,AO,1600824678
221,opole,50.5,18.0,59.0,78,1,5.99,PL,1600824678
222,mandera,3.94,41.87,77.59,68,95,12.93,KE,1600824679
223,bethel,41.37,-73.41,57.99,66,1,8.88,US,1600824667
224,caravelas,-17.71,-39.25,73.0,89,29,5.68,BR,1600824679
225,bambous virieux,-20.34,57.76,66.0,82,20,3.36,MU,1600824679
226,rosetta,31.4,30.42,84.2,62,40,5.82,EG,1600824679
227,dingle,11.0,122.67,85.57,73,1,5.12,PH,1600824680
228,caraballeda,10.61,-66.85,80.6,83,20,5.53,VE,1600824680
229,port hardy,50.7,-127.42,59.0,77,90,16.11,CA,1600824680
230,toktogul,41.87,72.94,60.08,51,3,0.94,KG,1600824680
231,nanortalik,60.14,-45.24,36.97,75,0,11.7,GL,1600824680
232,vestmanna,62.16,-7.17,39.2,93,77,2.24,FO,1600824681
233,haines junction,60.75,-137.51,48.76,63,100,3.29,CA,1600824681
234,cimitarra,6.31,-73.95,76.44,73,49,2.26,CO,1600824682
235,mundybash,53.21,87.3,46.83,95,100,5.46,RU,1600824682
236,abha,18.22,42.51,66.2,16,68,11.86,SA,1600824682
237,verkhoyansk,67.54,133.38,50.81,47,1,2.39,RU,1600824683
238,pangnirtung,66.15,-65.71,33.82,77,100,6.02,CA,1600824683
239,faya,18.39,42.45,66.2,16,56,7.67,SA,1600824683
240,deputatskiy,69.3,139.9,44.24,65,14,8.05,RU,1600824683
241,callaguip,18.07,120.49,80.6,88,75,3.36,PH,1600824683
242,san martin,-33.08,-68.47,66.2,32,14,3.36,AR,1600824684
243,arraial do cabo,-22.97,-42.03,68.16,85,100,18.19,BR,1600824684
245,pitea,65.32,21.48,46.4,81,100,6.93,SE,1600824684
246,rafraf,37.19,10.18,75.2,83,40,4.7,TN,1600824685
247,fairbanks,64.84,-147.72,55.4,47,1,2.57,US,1600824667
248,mayskiy,47.69,40.1,44.6,45,62,3.56,RU,1600824685
249,hirara,24.8,125.28,86.0,74,40,10.29,JP,1600824685
250,karasjok,69.47,25.51,37.4,74,97,23.04,NO,1600824685
251,praia da vitoria,38.73,-27.07,66.99,93,90,20.2,PT,1600824685
252,kirkwood,38.58,-90.41,70.0,52,75,5.82,US,1600824396
253,atambua,-9.11,124.89,86.92,44,5,3.33,ID,1600824685
254,makakilo city,21.35,-158.09,89.6,43,75,9.17,US,1600824686
255,yekaterinoslavka,50.37,129.11,52.86,82,95,11.27,RU,1600824686
256,alofi,-19.06,-169.92,71.6,94,75,13.87,NU,1600824686
257,fortuna,40.6,-124.16,66.0,82,1,6.93,US,1600824686
258,mahibadhoo,3.78,72.97,80.92,79,100,11.5,MV,1600824687
259,jiangyou,31.77,104.72,67.78,77,81,3.83,CN,1600824687
260,hurghada,27.26,33.81,84.2,42,0,9.17,EG,1600824687
261,mount gambier,-37.83,140.77,51.8,76,90,17.22,AU,1600824444
262,beloha,-25.17,45.05,60.91,67,40,10.42,MG,1600824688
263,oriximina,-1.77,-55.87,82.51,66,21,4.68,BR,1600824688
264,muli,2.92,73.57,79.86,83,100,6.17,MV,1600824688
265,prince rupert,54.32,-130.32,59.0,58,90,9.17,CA,1600824609
266,batemans bay,-35.72,150.18,68.0,58,0,7.0,AU,1600824688
267,sri aman,1.24,111.46,78.8,88,20,3.36,MY,1600824688
268,viedma,-40.81,-63.0,46.0,62,90,7.49,AR,1600824688
269,ylivieska,64.08,24.55,46.99,89,100,1.01,FI,1600824689
270,uyuni,-20.46,-66.83,46.0,41,0,5.08,BO,1600824689
271,ambon,-3.7,128.18,84.2,79,40,3.36,ID,1600824689
272,rio grande,-32.03,-52.1,53.82,74,7,12.77,BR,1600824476
273,brigham city,41.51,-112.02,80.6,18,1,3.36,US,1600824689
274,kamaishi,39.27,141.88,71.6,68,75,6.93,JP,1600824689
275,isangel,-19.55,169.27,80.6,61,75,11.41,VU,1600824690
276,dikson,73.51,80.55,41.49,87,100,14.18,RU,1600824690
277,kurush,41.28,47.83,64.4,82,90,2.24,RU,1600824690
278,conde,-7.26,-34.91,73.4,94,20,4.7,BR,1600824690
279,kichera,55.94,110.1,51.04,55,0,3.11,RU,1600824690
280,ordzhonikidze,52.44,61.74,50.65,78,100,23.62,KZ,1600824690
282,yatou,37.15,122.38,70.48,60,99,7.0,CN,1600824691
283,asfi,32.3,-9.24,71.58,69,98,15.99,MA,1600824691
